";Date;Holiday;;;;"
"181;21/01/02;Martin Luther King, Jr. Day;;;;"

"182;18/02/02;Washington‰Ûªs Birthday;;;;"

"183;27/05/02;Memorial Day;;;;"

"184;04/07/02;Independence Day;;;;"

"185;02/09/02;Labor Day;;;;"

"186;14/10/02;Columbus Day;;;;"

"187;11/11/02;Veterans Day;;;;"

"188;28/11/02;Thanksgiving Day;;;;"

"189;25/12/02;Christmas Day;;;;"

"190;01/01/01;New Year‰Ûªs Day;;;;"

"191;15/01/01;Martin Luther King, Jr. Day;;;;"

"192;19/02/01;Washington‰Ûªs Birthday;;;;"

"193;28/05/01;Memorial Day;;;;"

"194;04/07/01;Independence Day;;;;"

"195;03/09/01;Labor Day;;;;"

"196;08/10/01;Columbus Day;;;;"

"197;11/11/01;Veterans Day;;;;"

"198;22/11/01;Thanksgiving Day;;;;"

"199;25/12/01;Christmas Day;;;;"

"200;01/01/00;New Year‰Ûªs Day;;;;"

"201;17/01/00;Martin Luther King, Jr. Day;;;;"

"202;21/02/00;Washington‰Ûªs Birthday;;;;"

"203;29/05/00;Memorial Day;;;;"

"204;04/07/00;Independence Day;;;;"

"205;04/09/00;Labor Day;;;;"

"206;09/10/00;Columbus Day;;;;"

"207;11/11/00;Veterans Day;;;;"

"208;23/11/00;Thanksgiving Day;;;;"

"209;25/12/00;Christmas Day;;;;"

"210;01/01/99;New Year‰Ûªs Day;;;;"

"211;18/01/99;Martin Luther King, Jr. Day;;;;"

"212;15/02/99;Washington‰Ûªs Birthday;;;;"

"213;31/05/99;Memorial Day;;;;"

"214;04/07/99;Independence Day;;;;"

"215;06/09/99;Labor Day;;;;"

"216;11/10/99;Columbus Day;;;;"

"217;11/11/99;Veterans Day;;;;"

"218;25/11/99;Thanksgiving Day;;;;"

"219;25/12/99;Christmas Day;;;;"

"220;01/01/98;New Year‰Ûªs Day;;;;"

"221;19/01/98;Martin Luther King, Jr. Day;;;;"

"222;16/02/98;Washington‰Ûªs Birthday;;;;"

"223;25/05/98;Memorial Day;;;;"

"224;04/07/98;Independence Day;;;;"

"225;07/09/98;Labor Day;;;;"

"226;12/10/98;Columbus Day;;;;"

"227;11/11/98;Veterans Day;;;;"

"228;26/11/98;Thanksgiving Day;;;;"

"229;25/12/98;Christmas Day;;;;"

"230;01/01/97;New Year‰Ûªs Day;;;;"

"231;20/01/97;Martin Luther King, Jr. Day;;;;"

"232;17/02/97;Washington‰Ûªs Birthday;;;;"

"233;26/05/97;Memorial Day;;;;"

"234;04/07/97;Independence Day;;;;"

"235;01/09/97;Labor Day;;;;"

"236;13/10/97;Columbus Day;;;;"

"237;11/11/97;Veterans Day;;;;"

"238;27/11/97;Thanksgiving Day;;;;"

"239;25/12/97;Christmas Day;;;;"

"240;01/01/96;New Year‰Ûªs Day;;;;"

"241;15/01/96;Martin Luther King, Jr. Day;;;;"

"242;19/02/96;Washington‰Ûªs Birthday;;;;"

"243;27/05/96;Memorial Day;;;;"

"244;04/07/96;Independence Day;;;;"

"245;02/09/96;Labor Day;;;;"

"246;14/10/96;Columbus Day;;;;"

"247;11/11/96;Veterans Day;;;;"

"248;28/11/96;Thanksgiving Day;;;;"

"249;25/12/96;Christmas Day;;;;"

"250;01/01/95;New Year‰Ûªs Day;;;;"

"251;16/01/95;Martin Luther King, Jr. Day;;;;"

"252;20/02/95;Washington‰Ûªs Birthday;;;;"

"253;29/05/95;Memorial Day;;;;"

"254;04/07/95;Independence Day;;;;"

"255;04/09/95;Labor Day;;;;"

"256;09/10/95;Columbus Day;;;;"

"257;11/11/95;Veterans Day;;;;"

"258;23/11/95;Thanksgiving Day;;;;"

"259;25/12/95;Christmas Day;;;;"

"260;01/01/94;New Year‰Ûªs Day;;;;"

"261;17/01/94;Martin Luther King, Jr. Day;;;;"

"262;21/02/94;Washington‰Ûªs Birthday;;;;"

"263;30/05/94;Memorial Day;;;;"

"264;04/07/94;Independence Day;;;;"

"265;05/09/94;Labor Day;;;;"

"266;10/10/94;Columbus Day;;;;"

"267;11/11/94;Veterans Day;;;;"

"268;24/11/94;Thanksgiving Day;;;;"

"269;25/12/94;Christmas Day;;;;"

"270;01/01/93;New Year‰Ûªs Day;;;;"

"271;18/01/93;Martin Luther King, Jr. Day;;;;"

"272;15/02/93;Washington‰Ûªs Birthday;;;;"

"273;31/05/93;Memorial Day;;;;"

"274;04/07/93;Independence Day;;;;"

"275;06/09/93;Labor Day;;;;"

"276;11/10/93;Columbus Day;;;;"

"277;11/11/93;Veterans Day;;;;"

"278;25/11/93;Thanksgiving Day;;;;"

"279;25/12/93;Christmas Day;;;;"

"280;01/01/92;New Year‰Ûªs Day;;;;"

"281;20/01/92;Martin Luther King, Jr. Day;;;;"

"282;17/02/92;Washington‰Ûªs Birthday;;;;"

"283;25/05/92;Memorial Day;;;;"

"284;04/07/92;Independence Day;;;;"

"285;07/09/92;Labor Day;;;;"

"286;12/10/92;Columbus Day;;;;"

"287;11/11/92;Veterans Day;;;;"

"288;26/11/92;Thanksgiving Day;;;;"

"289;25/12/92;Christmas Day;;;;"

"290;01/01/91;New Year‰Ûªs Day;;;;"

"291;21/01/91;Martin Luther King, Jr. Day;;;;"

"292;18/02/91;Washington‰Ûªs Birthday;;;;"

"293;27/05/91;Memorial Day;;;;"

"294;04/07/91;Independence Day;;;;"

"295;02/09/91;Labor Day;;;;"

"296;14/10/91;Columbus Day;;;;"

"297;11/11/91;Veterans Day;;;;"

"298;28/11/91;Thanksgiving Day;;;;"

"299;25/12/91;Christmas Day;;;;"

"300;01/01/90;New Year‰Ûªs Day;;;;"

"301;15/01/90;Martin Luther King, Jr. Day;;;;"

"302;19/02/90;Washington‰Ûªs Birthday;;;;"

"303;28/05/90;Memorial Day;;;;"

"304;04/07/90;Independence Day;;;;"

"305;03/09/90;Labor Day;;;;"

"306;08/10/90;Columbus Day;;;;"

"307;11/11/90;Veterans Day;;;;"

"308;22/11/90;Thanksgiving Day;;;;"

"309;25/12/90;Christmas Day;;;;"

"310;01/01/89;New Year‰Ûªs Day;;;;"

"311;16/01/89;Martin Luther King, Jr. Day;;;;"

"312;20/02/89;Washington‰Ûªs Birthday;;;;"

"313;29/05/89;Memorial Day;;;;"

"314;04/07/89;Independence Day;;;;"

"315;04/09/89;Labor Day;;;;"

"316;09/10/89;Columbus Day;;;;"

"317;11/11/89;Veterans Day;;;;"

"318;23/11/89;Thanksgiving Day;;;;"

"319;25/12/89;Christmas Day;;;;"

"320;01/01/88;New Year‰Ûªs Day;;;;"

"321;18/01/88;Martin Luther King, Jr. Day;;;;"

"322;15/02/88;Washington‰Ûªs Birthday;;;;"

"323;30/05/88;Memorial Day;;;;"

"324;04/07/88;Independence Day;;;;"

"325;05/09/88;Labor Day;;;;"

"326;10/10/88;Columbus Day;;;;"

"327;11/11/89;Veterans Day;;;;"

"328;24/11/88;Thanksgiving Day;;;;"

"329;25/12/88;Christmas Day;;;;"

"330;01/01/87;New Year‰Ûªs Day;;;;"

"331;19/01/87;Martin Luther King, Jr. Day;;;;"

"332;16/02/87;Washington‰Ûªs Birthday;;;;"

"333;25/05/87;Memorial Day;;;;"

"334;04/07/87;Independence Day;;;;"

"335;07/09/87;Labor Day;;;;"

"336;12/10/87;Columbus Day;;;;"

"337;11/11/87;Veterans Day;;;;"

"338;26/11/87;Thanksgiving Day;;;;"

"339;25/12/87;Christmas Day;;;;"

"340;01/01/86;New Year‰Ûªs Day;;;;"

"341;20/01/86;Martin Luther King, Jr. Day;;;;"

"342;17/02/86;Washington‰Ûªs Birthday;;;;"

"343;26/05/86;Memorial Day;;;;"

"344;04/07/86;Independence Day;;;;"

"345;01/09/86;Labor Day;;;;"

"346;13/10/86;Columbus Day;;;;"

"347;11/11/86;Veterans Day;;;;"

"348;27/11/86;Thanksgiving Day;;;;"

"349;25/12/86;Christmas Day;;;;"

"350;01/01/85;New Year‰Ûªs Day;;;;"

"351;21/01/85;Martin Luther King, Jr. Day;;;;"

"352;18/02/85;Washington‰Ûªs Birthday;;;;"

"353;27/05/85;Memorial Day;;;;"

"354;04/07/85;Independence Day;;;;"

"355;02/09/85;Labor Day;;;;"

"356;14/10/85;Columbus Day;;;;"

"357;11/11/85;Veterans Day;;;;"

"358;28/11/85;Thanksgiving Day;;;;"

"359;25/12/85;Christmas Day;;;;"

"360;01/01/84;New Year‰Ûªs Day;;;;"

"361;20/02/84;Washington‰Ûªs Birthday;;;;"

"362;28/05/84;Memorial Day;;;;"

"363;04/07/84;Independence Day;;;;"

"364;03/09/84;Labor Day;;;;"

"365;08/10/84;Columbus Day;;;;"

"366;11/11/84;Veterans Day;;;;"

"367;22/11/84;Thanksgiving Day;;;;"

"368;25/12/84;Christmas Day;;;;"

"369;01/01/83;New Year‰Ûªs Day;;;;"

"370;21/02/83;Washington‰Ûªs Birthday;;;;"

"371;30/05/83;Memorial Day;;;;"

"372;04/07/83;Independence Day;;;;"

"373;05/09/83;Labor Day;;;;"

"374;10/10/83;Columbus Day;;;;"

"375;11/11/83;Veterans Day;;;;"

"376;24/11/83;Thanksgiving Day;;;;"

"377;25/12/83;Christmas Day;;;;"

"378;01/01/82;New Year‰Ûªs Day;;;;"

"379;15/02/82;Washington‰Ûªs Birthday;;;;"

"380;31/05/82;Memorial Day;;;;"

"381;04/07/82;Independence Day;;;;"

"382;06/09/82;Labor Day;;;;"

"383;11/10/82;Columbus Day;;;;"

"384;11/11/82;Veterans Day;;;;"

"385;25/11/82;Thanksgiving Day;;;;"

"386;25/12/82;Christmas Day;;;;"

