iter	Passed	Remaining
581	1541	1107
582	1544	1104
583	1546	1101
584	1548	1098
585	1550	1095
586	1553	1092
587	1555	1090
588	1558	1087
589	1560	1084
590	1562	1081
591	1565	1078
592	1567	1075
593	1569	1073
594	1572	1070
595	1574	1067
596	1576	1064
597	1578	1061
598	1580	1058
599	1583	1055
600	1585	1052
601	1588	1049
602	1590	1047
603	1593	1044
604	1595	1041
605	1597	1038
606	1599	1035
607	1601	1032
608	1604	1029
609	1606	1027
610	1608	1024
611	1611	1021
612	1613	1018
613	1615	1015
614	1618	1013
615	1621	1010
616	1623	1007
617	1625	1005
618	1628	1002
619	1632	1000
620	1634	997
621	1637	994
622	1639	991
623	1641	989
624	1644	986
625	1647	984
626	1649	981
627	1653	979
628	1657	977
629	1661	975
630	1664	973
631	1667	971
632	1672	969
633	1675	967
634	1677	964
635	1680	961
636	1683	959
637	1686	956
638	1688	953
639	1690	951
640	1692	948
641	1695	945
642	1697	942
643	1700	939
644	1702	937
645	1704	934
646	1706	931
647	1709	928
648	1711	925
649	1713	922
650	1716	920
651	1718	917
652	1720	914
653	1723	911
654	1725	908
655	1727	905
656	1729	903
657	1732	900
658	1737	898
659	1740	896
660	1743	894
661	1746	891
662	1750	889
663	1753	887
664	1756	884
665	1758	882
666	1761	879
667	1763	876
668	1765	873
669	1767	870
670	1770	867
671	1772	865
672	1774	862
673	1777	859
674	1779	856
675	1781	854
676	1783	851
677	1786	848
678	1788	845
679	1791	842
680	1793	840
681	1795	837
682	1798	834
683	1800	831
684	1802	828
685	1805	826
686	1807	823
687	1809	820
688	1812	817
689	1814	815
690	1816	812
691	1818	809
692	1820	806
693	1823	803
694	1825	801
695	1827	798
696	1830	795
697	1832	792
698	1834	790
699	1838	787
700	1842	785
701	1845	783
702	1848	780
703	1850	777
704	1853	775
705	1856	773
706	1860	770
707	1862	768
708	1866	765
709	1868	763
710	1871	760
711	1873	757
712	1875	754
713	1877	752
714	1880	749
715	1882	746
716	1885	744
717	1887	741
718	1890	738
719	1892	735
720	1894	733
721	1897	730
722	1899	727
723	1902	725
724	1904	722
725	1906	719
726	1909	716
727	1911	714
728	1914	711
729	1916	708
730	1918	705
731	1920	703
732	1923	700
733	1925	697
734	1927	694
735	1929	692
736	1932	689
737	1934	686
738	1936	684
739	1939	681
740	1941	678
741	1943	675
742	1945	672
743	1947	670
744	1950	667
745	1952	664
746	1954	661
747	1956	659
748	1959	656
749	1961	653
750	1963	650
751	1965	648
752	1968	645
753	1970	642
754	1973	640
755	1975	637
756	1977	634
757	1980	632
758	1982	629
759	1984	626
760	1987	624
761	1989	621
762	1992	618
763	1994	616
764	1996	613
765	1999	610
766	2001	608
767	2004	605
768	2006	602
769	2008	599
770	2011	597
771	2013	594
772	2015	591
773	2018	589
774	2020	586
775	2024	584
776	2028	582
777	2031	579
778	2035	577
779	2038	574
780	2042	572
781	2044	569
782	2046	567
783	2049	564
784	2052	562
785	2054	559
786	2056	556
787	2059	554
788	2061	551
789	2064	548
790	2067	546
791	2069	543
792	2071	540
793	2074	538
794	2076	535
795	2078	532
796	2082	530
797	2084	527
798	2086	524
799	2088	522
800	2091	519
801	2093	516
802	2095	514
803	2098	511
804	2100	508
805	2102	506
806	2105	503
807	2107	500
808	2109	498
809	2111	495
810	2114	492
811	2116	489
812	2118	487
813	2121	484
814	2123	481
815	2125	479
816	2127	476
817	2129	473
818	2132	471
819	2134	468
820	2136	465
821	2139	463
822	2141	460
823	2143	457
824	2145	455
825	2148	452
826	2150	449
827	2153	447
828	2155	444
829	2158	442
830	2160	439
831	2162	436
832	2164	433
833	2167	431
834	2169	428
835	2171	426
836	2174	423
837	2176	420
838	2178	418
839	2181	415
840	2183	412
841	2186	410
842	2188	407
843	2190	404
844	2193	402
845	2195	399
846	2198	397
847	2200	394
848	2203	391
849	2207	389
850	2211	387
851	2214	384
852	2218	382
853	2222	379
854	2226	377
855	2229	375
856	2231	372
857	2233	369
858	2236	367
859	2239	364
860	2242	362
861	2244	359
862	2247	356
863	2249	354
864	2252	351
865	2254	348
866	2256	346
867	2259	343
868	2261	340
869	2263	338
870	2266	335
871	2268	332
872	2270	330
873	2272	327
874	2275	325
875	2277	322
876	2279	319
877	2281	317
878	2284	314
879	2286	311
880	2288	309
881	2290	306
882	2293	303
883	2295	301
884	2297	298
885	2300	295
886	2302	293
887	2304	290
888	2307	288
889	2309	285
890	2312	282
891	2314	280
892	2316	277
893	2318	274
894	2321	272
895	2323	269
896	2325	267
897	2327	264
898	2329	261
899	2332	259
900	2334	256
901	2337	253
902	2339	251
903	2341	248
904	2344	246
905	2346	243
906	2348	240
907	2351	238
908	2353	235
909	2356	233
910	2358	230
911	2360	227
912	2363	225
913	2365	222
914	2367	219
915	2370	217
916	2372	214
917	2375	212
918	2377	209
919	2379	206
920	2382	204
921	2385	201
922	2389	199
923	2392	196
924	2396	194
925	2398	191
926	2401	189
927	2404	186
928	2408	184
929	2411	181
930	2413	178
931	2415	176
932	2417	173
933	2420	171
934	2423	168
935	2425	165
936	2428	163
937	2431	160
938	2433	158
939	2436	155
940	2438	152
941	2441	150
942	2443	147
943	2446	145
944	2448	142
945	2450	139
946	2452	137
947	2454	134
948	2457	132
949	2459	129
950	2462	126
951	2464	124
952	2467	121
953	2469	119
954	2471	116
955	2473	113
956	2476	111
957	2478	108
958	2480	106
959	2483	103
960	2485	100
961	2487	98
962	2489	95
963	2492	93
964	2494	90
965	2497	87
966	2499	85
967	2502	82
968	2504	80
969	2506	77
970	2508	74
971	2510	72
972	2513	69
973	2515	67
974	2518	64
975	2520	61
976	2522	59
977	2525	56
978	2527	54
979	2530	51
980	2532	49
981	2535	46
982	2538	43
983	2540	41
984	2542	38
985	2545	36
986	2547	33
987	2549	30
988	2552	28
989	2554	25
990	2556	23
991	2559	20
992	2561	18
993	2563	15
994	2565	12
995	2568	10
996	2570	7
997	2573	5
998	2577	2
999	2580	0
